PERSON,PLACE,ORGANIZATION
Himene Chapuis,Bonyhád,Les Humains d’Abord
Amra Couatarmanach,Schriek,Service national des forêts
Elouen Pereira,Yellandu,BU
Madeline Duverney,Bandipura,Dealers du futur
Aïron Allen,Bialong,Vitah
Adelaida Jackson,Ebeltoft,Sécurité Féminine
Illi López,Larkird,étudiants en littérature
Clemence Hill,Maspeth,Autorité
Charles Joseph,Villard-Bonnot,Pets Care
Thiana Lewis,Consolación del Sur,Poleuropa
Anne-Berengere Dassault,Dworp,La Nouvelle Révolution
Arthur Fernández,Hövsan,"Centre zoologique "" Cortana """
Joshua Clavier,Kętrzyn,association protégeant les droits des enfants
Evens Rodríguez,Bang Bua Thong,Nitro circus
Estellia Chen,Mampong,médecin chef aux urgences à l’hôpital de Paris
Jose-Pierre Ferreira,Ambridge,Association pour la défense des droits de l'homme
Sebastien Couatarmanach,Atlixco,ONG Civic Freedom for all
Neill Campbell,Quintín Arauz,Protégeons les homosexuels
Yamato Trameur,Mulgund,forces de la sécurité routière de Lyon
Tymothee Evans,Taurianova,Vie et Liberté Pour Mon Peuple
Elirone Trameur,Torremolinos,Carnaval
Chifae Clark,Cathedral City,XCV
Severine Robinson,Vohenstrauß,Réconfort bienheureuse
Iazid Peter,Wusu,fondation Deneuve
Iman Anderson,Quincy-sous-Sénart,FIR
Garion Moore,Esquel,MPOP
Nidal Mohamed,Shijiang,Métalica Riders
Tunahan Carter,Bracknell,YCARE
Jack Tellier,Irthlingborough,Développement du Venezuela
Richmond Martin,Danbury,Lotus Bleue
Gwenna Ali,Novyy Sulak,Association des Journalistes sans frontière
Thibault Alekseï,Nawu,"Un enfant, un sac, un cahier"
Jayani Wang,Surinam,Stop aux hydrocarbures
Laura Chazal,Ephrata,UCR
Lyhia Fernández,Askøy,Parti pour la Paix et le Développement
Djulyan Durant,Conroe,Collectif des Scientifiques Éthiques
Elyis Baker,Tocatlán,Next Gen
Errol Wang,Palm City,FLX
Ouidede Jones,Colgong,Sun holidays
Laelia Durant,Zürich (Kreis 7) / Fluntern,Société suisse des industries chimiques
Arthur Abert,Salvatierra,propreté pour chaque individu
Cleandre Nguyen,Huangshi,La police.
Mirela Alves,Buryn,chercheurs traditionnels
Luqmi‚n Chen,Māngrol,Parti pour la Liberté et la Justice
Anuar Jackson,Canindé de São Francisco,ANADRF
Sevilay Walker,Kagoro,So Clean
Callista Lee,Springfield Gardens,Association des Journalistes de News York
Charles Joseph,Abās Ābād,Fondation Beta
Wallys Duverney,Perevalsk,Association pour l’égalité des sexes
Camillo Thompson,Xai-Xai,Police Sud africaine
Laïya Leguerrec,Kumertau,Ecole
Uveys Ali,Vikāsnagar,numérisons tout
Jack Tellier,Tierra Colorada,S.L
Antoine Duverney,Mocksville,Gardes-côtes
Joshua Clavier,Ludlow,Association des pêcheurs de la Savoie
Ozvan López,Al Bīrah,Sea Holidays
Sefika Lee,Dali,Belgique propreté absolue
Errol Wang,Och’amch’ire,YCARE
Cléa Destresse,Tingjiang,Comité de Lutte contre le Blanchiment d’Argent
Joshua Clavier,Beauceville,Le gîte et le couvert pour les sans-abris
Neri Roberts,Jamaica,la gendarmerie de Toulouse
Mathumitha Nelson,Brockville,Gouvernement
Suren Pautrat,Mosta,Habitant d'Anshan
Jean-Rene Dupond,Haparanda,Sun holidays
Floranne Alves,Upper Coomera,Saint islam bénéfique
Sevtap Young,Martha Lake,Vase
Eucher Liu,Podlehnik,ONG Sauvons l’Amazonie
Dijle Martin,Longsight,association des Jeunes Artisans
Driss Laporal,Bail-Hongal,Paix arabe universelle
Abdessamed Wilson,Åmål,Saturnus
Kayssan Walker,Essex Junction,"un livre, une vie"
Santos Dos,Jetpur,HACHM
Chaïn Scott,Guttenberg,MOOC
Mahmed Clavier,Hermosillo,Clean Pool
Maisie Pautrat,Krosno Odrzańskie,Thabor Group
Thibault Alekseï,Erzhausen,Juice
Patrick Fernández,Islaz,Association des mineurs de Chili
Léna Trameur,Caudebec-lès-Elbeuf,"Mouvance, Liberté et Démocratie"
Ouiame Brown,Fraccionamiento Misión del Valle,Beauté
Tobias Green,San Narciso,Administration fédérale de l’Aviation
Keveen Baker,Bongaigaon,La Nouvelle Révolution
Alassan Turner,Rosário do Sul,Disons non au port d’armes à feu
Abderzak Scott,Republic,FileGen
Janyne Mohamed,Covington,Association des Cheminots
Laurent Chazal,Ferreñafe,Comité de Lutte contre le Blanchiment d’Argent
Anto Dufour,Inderbor,Conseil National du Patronat
Leopaul John,Sankeshu,Légiste
Arlo Lewis,Caister-on-Sea,Indie
Francine Miller,Măcin,Libertas
Anyse Lee,Lutayan,Pacifica
Ovidiu Martínez,Moritzburg,Armi Corp
Mirlene Smith,Doué-la-Fontaine,Triomphes de Femmes
Irine Thompson,Winsen,"une femme, un métier"
Defne Li,Qacha’s Nek,enjoy
Djibril Peter,Westhausen,Syndicat des Travailleurs et Ouvriers
Kattia Ramírez,Abrantes,"un cheval, une vie"
Loulou Nelson,Palladam,Collectif des Chercheurs d’Or de Kouroussa
Silva Da,Doesburg,Alliance pour l’Unité de la Gauche
Chani Hill,Ipaba,Granite
Curtis Turner,Bol’sherech’ye,ONG internatinale AccessLife
Asuncion Chapuis,Canicattini Bagni,helping
Elina Pautrat,Cà Mau,Association des Jeunes Visionnaires
Yousuf González,Hatsudai,Pompier
Enelya Peter,Irbit,proviseur du lycée technique de Bourgogne
Santos Dos,Arruda dos Vinhos,SSD
Juan-Miguel Brown,Jālaun,amour pour le rallye
Illi López,Jinotepe,Corazon
Salah-Edine García,Zürich (Kreis 1),Labricomma
Brook Moore,Bafra,Bakaram
Bolo Destresse,Ciénaga,Ong Vie verte
Elsa Alibert,Douglas,Parti pour l’Évolution
Amaru Rodríguez,Central City,PRIMA
Eglantine Deneuve,Khangah Dogran,Pompier
Adolphe Harris,Aţ Ţafīlah,Gazana
Walid Couatarmanach,Kemi,ONG Alliance
Pharailde Thompson,Doba,non à la fumée
Nidal Mohamed,Araçoiaba da Serra,association des éleveurs
Silva Da,Laytown,Police
Izabelle Adams,Banjul,Association Energie Verte
Jayani Wang,Ruangwa,Association Allemande des serveurs de repas
Zarko Pérez,Rio Maior,Pompier
Johary Deneuve,Tamworth,Centrale de Surveillance de Tours
Marcelino Jones,Waterford,Minstère de la santé
Ishan Lewis,Aiud,combattons le cancer
Rokiya Capelani,Lagoa,ANADRF
Franco Di,Steyr,Police
Carlos Peter,Kanoya,LAGOCHI
Anne-Madeleine Miller,Jalpa,mer en bleu
Ozvan López,Corralillo,Association pour l’Avenir des Jeunes
Patrick Fernández,Đinh Văn,Agence gouvernementale pour les recouvrements
Silva Da,Arjona,Syndicat des Amoureux du Raggae
Leanne Tellier,Kameshkovo,Nos évènements culinaires russes
Ginot Scott,Wisła,EARTHQUAKE
Analucia Dupond,Barnstorf,Chimikus-Francfurt
Elliott Wright,Bridgend,Culture du cacao
Anziz Pérez,The Colony,Nutri
Bourhanoudine Tellier,Son Servera,TPM
Ike Jones,Lake Murray of Richland,Compagnie aérienne
Thibault Alekseï,Mifune,EMH
Bruno Alves,Pontarlier,"un jeune, un emploi"
Sebastien Couatarmanach,Paulo Afonso,halte famine
Jeyna Dupuis,Nigrán,Coiffure
Anne-Madeleine Miller,Lynn,Les amis de la famille Lewis
Djuna Smith,Pālakkodu,les pompiers
Leslie-Ann Peter,Fetești-Gară,oui au mariage homosexuel
Cléa Destresse,San Jerónimo,International French School
Timaï Nguyen,Sint-Andries,Supporters
Thyo Allen,Kharjā,Pets Care
Wafa Fernández,Ceyrat,Meubles angéliques divins
Corynne Mohamed,Glendale,Légiste
Kaitline Anderson,Trebisacce,Stop aux violences conjugales
Anam Destresse,Estepona,Mon Pays et Moi
Joshua Clavier,Bandar Lampung,association des anciens de l'Université
Raky Carter,Überherrn,Pompiers
Nathan Torres,Okayama,Comité de Lutte contre les Stupéfiants
Djelina Ferreira,Zalla,ONG Art d’Abord
Turquoise Gómez,Makakilo,Comité Canadien pour la Lutte contre la COVID-19
Yoen Miller,Chigorodó,Police
Annie-Christine Rodríguez,Birkirkara,Parti pour la Vie de Buenos Aires et Alentours
Jakie Roberts,Huanggang,Let's Fly
Thibault Alekseï,Votuporanga,Police
Noeh Chen,LaFollette,l’Office de l’Union Européenne pour la Propriété Intellectuelle
Iman Anderson,Mindelheim,Naryl
Edem Constant,Oria,Pyrolab
Arjan Ramírez,Maizières-lès-Metz,Petits orphelins surdoués
Emrah John,Florence-Graham,les sourds ont des droits
Emy Evans,Thibodaux,York
Abigael Dufour,Mansourah,Office de Lutte contre la Drogue
Jaume Hassan,Goa,Organisation solidaire nucléaire d’Iran
Kataline Sánchez,San Isidro,Pompier
Jazz Zhang,Vandenberg Village,Organisation Intergouvernementale pour la défense des droits humains
Jakie Roberts,Peshtera,stop à l’harcèlement
Sirius Wang,Karabudakhkent,Justice pour Yas
Silva Da,Portland,Syndicat des travailleurs
Thibault Alekseï,Keren,Justice for Brandon and Co
Silva Da,Lenoir City,Association ‘’Non à la sécheresse de nos terres’’
Bruno Alves,Pietraperzia,ONG urgence-Santé
Safah Smith,La Condamine,Yaz
Seydina Allen,Kárystos,une chance pour tous
Assita Wright,Wheat Ridge,Justice Pour Tous
Pierre-Joil Robinson,Yarmouth,laboratoire Smith Jounaidi
Joshua Clavier,Nkove,Talents chimiques mexicains
Henry Destresse,Meru,Pistoncup
Illi López,Avanhard,Famille Clavier
Maeva Capelani,Zeytinburnu,service des enquêtes en télécommunication
Rimis Fernández,Özdere,AESP
Arthur Abert,San Diego,Légiste
Fredie Hernández,Garko,l’association des étudiants en littérature
Ange-Lyne Duverney,Shurugwi,une nourriture pour chaque famille
Cléa Destresse,Hechingen,non au trafic des bois
Bruno Alves,Rendon,Association des Secouristes de Premier Ordre
Joshua Clavier,Shorkot,Amical des Travailleurs de Biocell
Anthia Taylor,Firestone,Centre de Formation Culinaire de Londres
Yeline John,Safety Harbor,Centre National de la Recherche Scientifique
Alberthe Campbell,Lenino,Université du Texas
Ydrissa Alves,Anjozorobe,Comité des Jeunes pour l’Égalité Financière
Asael Joseph,Interlaken,Association pour la Libération des Opprimés
Sebastien Couatarmanach,Guilherand-Granges,l’Association ‘’Volontaire sans frontière’’
Carlos Peter,Timizart,Banque
Emiline Roberts,Patulul,Asie salutaire
Turquoise Gómez,Alice,Black Corp Agency
Oreane John,Betulia,Compagnie nationale Trans Gare
Ionis Lee,Branford Center,Watch-Me
Nao Clark,La Seyne-sur-Mer,Belle Allemagne futuriste
El Taylor,Canal Fulton,SWEETNIGHT
Shehrazad Adams,Nowogród Bobrzański,Pompier
Dixie Chazal,North Lindenhurst,Fondation Arc
Narjis Young,Jawhar,Blossom Assur
Shahan Wright,Altofonte,Club Jeunesse Épanouie
Charles Joseph,Agbor,Syndicat du personnel
Dmitri Dupond,Markópoulo,forces armées norvégiennes
Brewenn Joseph,Kirovgrad,BDF
Sinaly Ali,Düdingen,Capitania
Izabelle Adams,Cairo,Parti des Toredos
Sheyenne Mitchell,Hoffman Estates,Raffinerie Bénévole Suisse
Camrone Ferreira,Marlborough,XCV
Dianga Constant,Oleśnica,Association d’aide à l’indemnisation des victimes
Achref Flores,El Battan,Pompier
Emrah John,Udel’naya,Parti pour une Gouvernance Équitable
Alekseï Roberts,Rugeley,Association péruvienne de défense des biens culturels
Maliha Ferreira,Mundi,Northwestern Memorial Hospital
Presilia Torres,Korop,Police
Lisandre Thomas,Verwood,Free Ride
Shahana Scott,D'Iberville,Les justiciers
Arije Clark,Beauvais,Piliers démocratiques
Alphonse Liu,Ouro Sogui,Mairie
Liandro Jones,Srikakulam,Syndicat des Agents de la Centrale de Surveillance de Tours
Cléa Destresse,Pitanga,Fondation SMITH
Cheryane Sánchez,Fuente-Álamo de Murcia,Association ''Zéro complexe''
Karlyn Thompson,Wemding,Action-Paix
Anna Sauvage,Breckerfeld,Respect et Dignité
Ferruccio Trameur,Baidyabāti,help's
Ovidiu Martínez,Proddatūr,SCOOL
Alyce García,Suksun,Non à la maltraitance des enfants
Coryse Carter,Okeho,Triz
Ilyan Wilson,Stellenbosch,Protestants
Ouidede Jones,Seorīnārāyan,Université de Michigan
Grégoire Laporal,Kingstown,Nucléis socialisme
Carlos Peter,Balve,LM
Farmata Constant,Ystad,Verdad
Ludmina Parker,Livingston,Non aux trafics des enfants
Guy Evans,Center,liberté pour les transgenres
Lenaic Trameur,Nawābganj,Farms Queen
Tahina Williams,Camp Diable,Fondation Guinée
Yeline John,Gotenba,Raffinos
Raphael Alibert,Hopatcong,Titanium
Carlos Peter,Syas’stroy,BIOMAX
Driss Laporal,Wakefield,Bureau de gestion des déchets radioactifs
Elda Martin,Marseille 16,"ONG ""La vida es preciosa"""
Speranza Constant,Calvinia,Laboratoire bien bénévole
Ellena Young,Rustington,banque centrale
Rose-Heline Chazal,Honjō,"Tous véganes, tous végétariens"
Nora Fernández,Oberammergau,Lire pour apprendre
Cléa Destresse,Timberlake,Syndicat des Travailleurs Libres
Maria-Anna Rodríguez,Chyorny Yar,MOROU
Estellia Chen,Kālīnagar,ONG Art d’Abord
Laurent Chazal,Porto Santo Stefano,courage pour tous
Achref Flores,Cervignano del Friuli,VAFI
Damien Abert,Guruvāyūr,Marine Land
Oreane John,Ringwood,Police
Samirha Rodríguez,North Richland Hills,Next Gen
Himed Chazal,Poltavka,CDRS
Silva Da,Dededo Village,Police
Thiana Lewis,Jurbise,chef du gouvernement
Guyllian Turner,Xiangcheng,syndic de copropriété
Meliya Leguerrec,Fundão,Pompier
Auguste Ferreira,Jetalsar,Parti pour la Démocratie et la Tolérance
Alain Dupond,Winnetka,Justice pour Yas
Aylie Carter,Jacobina,l'Assemblée Nationale d'Italie
Patrick Fernández,Cheraw,Groupement Financier Indépendant
Armide Robinson,Gampola,Mouvement pour le Développement et l’Équité
Agatha Constant,Chiffa,Fondation Chazal
Eba Hernández,Khon Kaen,Comité pour des Élections Pacifique en Allemagne
Dorka Miller,Margasari,Relief
John-Lee Clavier,Payson,Osaka
Bruno Alves,Ventnor,Santé verte universelle
Wallys Duverney,Sjöbo,UPD
Phiby Harris,Samdrup Jongkhar,Gaztoday
Loetitia Thompson,Lixian,PESTOS
Francelyne Capelani,Mounana,Banque
Yosr Hernández,Parnamirim,Sauvons la chimie appliquée
Farda Duverney,Schonungen,Etat
Miya Brown,Nushki,Centrale de Surveillance de Tours
Sergueï Alekseï,Robertsganj,Bank Helios
Lyane García,Lynbrook,"l’Association ‘’ Un enfant, un foyer"
Uwe Ahmed,Twinsburg,ONG AnimalsProject
Adim Pérez,Jork,MATRIX NUCLEIS
Jaimie Carter,Baloteşti,Association internationale « mère et fille »
Slavko Li,Jœuf,l’association des secouristes
Zephyrin Clark,Harlan,syndicat des agriculteurs
Loulou Nelson,Kolonia Town,ambulanciers paramédicaux de Los Angelos
Yesmin Dassault,Ripon,"Tous véganes, tous végétariens"
Emrah John,Larreynaga,Les Amis de la nature
Khaola Carter,Bhudgaon,association protégeant les droits de la femme
Kattia Ramírez,Juneau,Police
Dianga Constant,Shaoyu,Unis pour tous
Amparo Fernández,Zhabei,ministère de la Santé
Léna Trameur,Halver,association des producteurs
Arthur Abert,Kyzylorda,Pompier
Faissoil Simporé,Ad Darb,bellle vie
Clady Campbell,Singojuruh,Nationalistes
Yesmina Smith,Le Lavandou,AESP
Juan-Miguel Brown,Auen,La Vida Para Todos
Himed Chazal,Weil im Schönbuch,SVORP
Xiao Joseph,Dinteloord,Police
Floranne Alves,Douchy-les-Mines,Comité pour l’Assainissement de Tokyo
Anaïs Abert,Tshikapa,FDR
Constance Dupuis,Kayalpattinam,Fédération des organisations des droits de l’Homme
Mercy Constant,Boscotrecase,Stop aux hydrocarbures
Yesmina Smith,Moama,Association de lutte contre l'alcoolisme
Hizir Pautrat,San Fernando,Non à la pollution
Sebastien Couatarmanach,Kölleda,Unit-life
Damien Abert,Rovigo,Les Nationalistes
Tasha Hernández,Poble Sec,Pluton petroleum
Thibault Alekseï,Marquard,syndicats d'infirmières et de sages-femmes
Anni Capelani,Baliton,Kifr Bahmadi
Auguste Ferreira,Sambaina,Pompier
Phi White,Schlangen,Pompier
Anto Dufour,Campos do Jordão,Berlin verrerie chimique
Patrick Fernández,Charleston,Fondation Chazal
Rasim Evans,Sars,Tous à l'école
Anne-Eleonore Williams,Qugaona,Axiep
Seydina Allen,Overschie,MAGLI
Sly Liu,Jennings,Coalition une Démocratie Verte en Turquie
Radija Nelson,Barki Saria,syndicat des travailleurs de l’industrie chimique vénézuélienne
Marian Hernández,Barrhead,Teenage-chemist
Hawwa Leguerrec,Midland,Les Justiciers de l’Ombre
Antoine Duverney,Pézenas,Agence nationale de lutte contre les accidents chimiques
Justin Martínez,Scherpenzeel,Joslin Nucléis
Alberic Rivera,Mahārājgani,Parc Zoologique
Grégoire Laporal,Guxian,ONG ‘’Médecins sans frontière’’
Tycia Phillips,Malax,Ending Aids
Mohcene Davis,Tostado,helping
Aimeline Nguyen,La Magdalena Tetela Morelos,Nijahydro
Franco Di,Den Chai,"Musé "" HISTORY """
Lola Lewis,Gangāpur,Chimicos Labor Porto
Jerick Duverney,Shuikou,Havana textile
Saunia Wilson,Zaoyang,Ménage hygiénique futuriste
Deavon Martin,Tondela,journalistes
Nissy Wang,Mingoyo,laboratoire Ali Gwenna
Tahyss Brown,Hongtu,République islam divin
Nasreddine King,Alindao,Ministère de la santé
Viollette Martin,Bainbridge,une association à but non lucratif regroupant de jeune diplômé
Yichai Brown,Mascote,non à la pollution
Neserine Phillips,Wolf Trap,association des artistes
Amantine Müller,Huanuni,Contre la maladie d'Alzheimer
Zaïa Moore,Emiliano Zapata,"un homme, un devoir"
Silva Da,Māgadi,Find Job
Laura Chazal,Fort Liberté,Petits orphelins surdoués
Alanis Evans,Manston,LABOPHARMA
Nouah Simporé,Angermünde,Syndicat des Consommateurs Avertis
Dorka Miller,Bell,Coalition pour la Science Consciente
Osama Dassault,Leverano,Touriste
Maelysse Destresse,Peraiyur,Justice & Paix
Himed Chazal,Kunwi,Industrie d’hydrocarbures royales
Yves-Alexandre Anderson,Tucupita,SQV
Raimonde Rivera,Pfronten,Services de la douane turque
Lhacene Williams,Bychawa,Police
Asim Allen,Dobšiná,Aéroport de Madagascar
Silva Da,Mujiayingzi,La science démocratisée
Laura Chazal,Batouri,Parti de la Démocratie et de la Paix
Stephan Dufour,Ringwood,Organisation mondiale de la Propriété Intellectuelle
Arthur Abert,Palmeira,Mon Pays et Moi
Ahamed Lewis,Elmalı,Mères célibataire
Kris Zhang,Coalinga,ONG Stop Violence
Djuna Smith,Prairie Grove,organisation AIDSCO
Carlos Peter,Kashihara-shi,PHARMPLUX
Agatha Constant,De Bilt,Université de New York
Firmaine Pereira,Ixtlahuacán del Río,Bakaram
Silva Da,Chengannūr,Ordre de Sauvetage des Migrants
Luken Wang,Hua Hin,Nextlab
Irmgard White,Ives Estates,KFC
Dianna Destresse,Sheridan,Black Corp Agency
Damien Abert,Leland,New Idea
Youness López,San Nicolás Tolentino,association AEMC
Christalle Baker,La Conception,Association des Constructeurs de Lyon
Euryale Müller,Apastepeque,gendarmerie
Ludovique Ali,Market Harborough,Université d'Oklahoma
Djuna Smith,Mingtong,communauté verte
Pharailde Thompson,Sherrelwood,Milan Chimie universelle
Themys Harris,Gan Yavne,Energie centrale
Conchetta Turner,Bestwig,l’Association ‘’ un monde sans violence’’
Anthia Taylor,Sérignan,l’Association ‘’ Non au travail des enfants’’
Ouarida Williams,Haren,Xpeng
Franzy Rodríguez,Tigre,Association ''Stop à la consommation du tabac''
Carlos Peter,Downpatrick,Dermatologie
Damien Abert,Cologno al Serio,Centre de Recherches Scientifiques
Carlos Peter,Villanueva,Etat
Tuncay Roberts,New Cumberland,Entremets exotiques d’Alger
Simeonne Mohamed,Hot Springs National Park,Organisation Intergouvernementale pour l’Avancée Technologique
Marie-Desiree Moore,Branford,Association ‘’Non à l’avortement’’
Hamar García,Waldkirchen,organisation des orphelins d'Europe
Yousuf González,Chirnogi,Entreprise NCP
Ouarida Williams,Masindi,l’association des laborantins
Ismail Allen,Milford,Séné hydros plus
Cleandre Nguyen,Williston,Les messagers de Dieu
Aimie Gómez,San Martín Jilotepeque,centre Universitaire de Lomé
Ellena Young,Spodnje Hoče,Incarcération hautement sécuritaire
Eurico Martin,Rwamagana,Djoust
Franco Di,Dumpay,Chimicos Labor Porto
Atlas Green,Nelson,Fête fauraine
Anne-Lise García,Aylsham,help's
Syanna Ferreira,Middleburg Heights,Organisation Intergouvernementale pour l’Avancée Technologique
Marie-Clothilde Taylor,Limonar,Innovation
Mathumitha Nelson,Serra,ensemble contre tout
Noufissa Duverney,Ningbo,Fashion-day
Franco Di,Cheboksary,Association ‘’Non à la cataracte''
Adolphe Harris,Chester,Police
Tomasz Baker,Marinhas,Pétrole pour tous
Ouiame Brown,Tomah,Parti pour la Liberté et les Valeurs
Hamza Martin,Nazareth,CHIMIX
Azat Phillips,Rostokino,l'Assemblée Nationale d'Italie
Elzeard Rivera,Calangute,Voling
Gaud Jackson,Spišská Nová Ves,les handicapés ont des droits
Norman Leguerrec,Bonoua,Association pour l’égalité des sexes
Arthur Fernández,Comalapa,Justice & Paix
Liandro Jones,Mingyu,Plateforme pétrolière
Sheyenne Mitchell,Nguékhokh,Amical des travailleurs d'Ivent
Angelita Chazal,Kazincbarcika,Colegio Franco Mexicano
Arthur Abert,Venaria Reale,Ministère des transports
Auguste Ferreira,Hattersheim,Ensemble pour la protection de la biodiversité
Henry Destresse,Shahrud,StopSuicide
Tchelsy González,Kalamariá,Association ‘’Mères battantes’’
Alpha Chen,Silveira,les 400 F
Anes Tellier,Poissy,POLI
Blin Laporal,Jemna,L'association des commerçants
Ursulla Mohamed,Stuhr,Best Construct
Marie-Desiree Moore,Memāri,Universitario La Paz Hospital
Rayaan Turner,Loma Linda,les handicapés ont des droits
Martin Deneuve,Darłowo,Vase
Melly Alibert,Neuhof,CASHC
John-Lee Clavier,West Hills,syndicat de lutte contre le racisme
Anni Capelani,Fond du Sac,l’organisation de bienfaisance
Callista Lee,Dubrovytsia,association pour la défense de la faune
Ulric Parker,Kānth,Banque
Franco Di,Macaparana,Horizon
Arthur Fernández,Gruiu,services des urgences de l’hôpital
Sefika Lee,Koungou,HACHM
Tunahan Carter,Postmasburg,Police
Keïlan King,Korgan,Groupe Ilmaïra
Elirone Trameur,Czechowice-Dziedzice,CareGen
Keloan Hill,Lakatoro,Best Better Life
Carlos Peter,Lubnjow,Chevalier noir
Beyrem González,Budhlāda,Agence pour la Sécurité Routière
Melyna Duverney,Montanha,SCOOL
Djamilatou Trameur,Caicara del Orinoco,Bal'z
Naylla Flores,Vyksa,Parti pour la Liberté et les Valeurs
Franco Di,Halifax,la Police républicaine
Namake Sánchez,Cacocum,Justice pour nos Défunts
Thibault Alekseï,Concepción de la Sierra,Speed-Rail
Eba Hernández,Pattensen,Fondation Ibrahim
Magdaleina Dufour,Pedra Badejo,Syndicat des cultivateurs du Bénin
Bruno Alves,North Fair Oaks,Union des États de la Corne de l’Afrique
Kainan González,Foumbot,Association pour la défense de la faune
Jahlen Campbell,Dylym,directeur local de la Protection civile
Keveen Baker,Skopje,Groupement Financier Indépendant
Sophy Rodríguez,Klishkivtsi,Mouvement pour le Développement et l’Équité
Santos Dos,Putignano,Femme arabe épanouie
Fouhed Brown,Intibucá,groupe de pêcheurs
Thibault Alekseï,Pathānkot,Organisation ‘’Se sentir mieux dans son corps
Arthur Fernández,Nevele,Help
Amauri Fernández,Casal Palocco,Gaztoday
Alain Dupond,Davydkovo,Soins sanitaires pour tous
Ferruccio Trameur,Overpelt,HATC
Leontel Alves,Krasne,La défense des droits des minorités sexuelles
Sevtap Young,May Pen,ANTIGAY
Karlyn Thompson,Gudivāda,syndicat des douaniers
Chabane Young,Werneuchen,Hydrobom
Tasha Hernández,Ulluaya,Berlin verrerie chimique
Alva Liu,North Providence,Sécurité Maroc
Estellia Chen,Tarsus,Groupe de dealer de drogue
Franco Di,Ipilan,Pompier
Ferdaous Chazal,Matamoros,Fashion-day
Yerim Peter,Cimahi,EARTHQUAKE
Léna Trameur,Oudenaarde,Déserts angéliques paradisiaques
Garion Moore,Radolfzell,Womanize
Yavuz-Selim Pereira,Shaping,Service national des forêts
Chabane Young,Zambrów,POLIS
Libby García,Alagāpuram,Xiu-Fang.lab
Marushka Scott,Chemin Grenier,Association péruvienne de défense des biens culturels
Claudinet Scott,Coxim,"Ophelinat "" Espoire de dmain """
Kisly Ali,Silver Spring,Association des alcooliques anonymes
Lynis Dupond,Baishi,HUIM
Deavon Martin,Kishapu,forces armées norvégiennes
Charles Joseph,Leopoldina,non à la fumée
Kaitline Anderson,Okahandja,association des Travailleurs Expérimentés
Thibault Alekseï,Pfäffikon / Pfäffikon (Dorfkern),Entreprise NCP
Firmaine Pereira,Manila,Havana textile
Yacime Chazal,Trino,Association des infectiologues de Côte d’ivoire
Lodois Lee,Belūr,Logistique pétrolière
Rody Laporal,Kitzingen,Association pour l’Avenir des Jeunes
Jonasz Chapuis,Villa de Reyes,banque
Alphonse Liu,Az Zarqā,Saint islam bénéfique
Raphael Alibert,Slonim,Association des handicapés de Bangkok
Kayssan Walker,Qinting,Association pour la défense de la faune
Grégoire Laporal,Messíni,Rye Mahalal
Djuna Smith,Sarandi,ZIP
Serdar Clark,Riegelsberg,Syndicat des travailleurs
Lakdar Alibert,Hubynykha,Passagers
Eglantine Deneuve,Srinagar,LABOS
Izabelle Adams,Saumur,Centre National de la Recherche Scientifique
Agatha Constant,Anori,CareGen
Bela García,Jharia,Tous en cuisine
Kellian Nguyen,Dobroye,Chimix.corp
Thibault Alekseï,Ensley,Comité National de Protection de l’Art
Daliborka Ibrahim,Idah,Vivre en Paix Ensemble
Maria-Anna Rodríguez,Hausham,Kifr Bahmadi
Barta Johnson,Durazno,Build It For Good
Sadjo Dassault,Solvay,Association arabe des accidents industries
Miltiade Pereira,Inékar,Non au SIDA
Joshua Clavier,Dayu,Airîle
Aretha Harris,Cambridge,Commission des Hommes d'Armes pour la cession de la guerre civile de Biafra
Ryana Alves,H̱arish,Non à l’exploitation des mineurs
Léna Trameur,Tornaľa,Interpol
Denis Leguerrec,Wembley,Fondation SMITH
Carlos Peter,Ubauro,Parti Pour la Liberté et la Satisfaction
Allegresse Wang,Velyki Kopani,Aina
Guilhen Carter,El Sobrante,Agence Nationale de Sécurité Routière
Berte Fernández,As Saffānīyah,"Mouvance, Liberté et Démocratie"
Rokiya Capelani,Ujae,ONG OASIS
Fuad Thomas,Merta,Communauté des Sœurs
Maricka Wilson,Boukadir,Centrale nucléaire bénévole argentine
Kattia Ramírez,Dieburg,Ong Amie des Hommes
Achil Hill,Mitsuke,laboratoire chimique d'Alua
Tianna King,Arenys de Mar,aide sans frontière
Deeclan Rodríguez,Marmaris,cellule d’analyse de la criminalité
Lola Lewis,Norwich,Association des magistrats du Congo-Brazzaville
Semya Harris,Haslev,Laboratoires chimiques sécurisés
Rimis Fernández,Capela,Lagos-Hydros
Bruno Alves,Bogale,Interpol
Mariaye González,Buritizeiro,ONG Impact
Beria Martin,Dahuangshan,gouvernement de la Colombie
Brook Moore,Petrozavodsk,Police
Santos Dos,Hönö,Association des homosexuels de Gemève
Steven's Clavier,Phôngsali,Bikers Band
Pinda Allen,Gülnar,ministre de la Défense nationale
Talan Rodríguez,Nueva Imperial,Research for clean water
Renny Zhang,Dulayti,Shepha
Silva Da,Les Aygalades,Alere
Milda Pautrat,New Corella,LABOPHARMA
Cyhan Parker,Yorkshire,Goodvibe
Ryana Alves,Quesnoy-sur-Deûle,Varsovie Sécuritis
Franco Di,Peasedown Saint John,Association ‘’Luttons contre la drépanocytose ’’
Yesmin Dassault,Las Cabezas de San Juan,Les autorités américaines
